rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
3709,527468,216148,connect,ended,-143.0,542805.0,690.0,time delta > 45 min,early more than 45 min
3720,531610,403239,mobile,ended,39.0,522490.0,60.0,time delta > 45 min,late <= 45 min
3757,538181,397333,mobile,ended,704.0,540525.0,0.0,time delta btw 0 and 45 min,late btw 6h and 1 day
3764,538584,406994,mobile,ended,9.0,533472.0,330.0,time delta > 45 min,late <= 45 min
3814,536185,394555,connect,ended,87.0,538270.0,690.0,time delta > 45 min,late btw 45 min and 2 hour
3835,532141,377670,connect,ended,-10.0,552933.0,150.0,time delta > 45 min,early less than 45 min
3850,534768,287544,mobile,ended,164.0,531476.0,120.0,time delta > 45 min,late btw 2 and 3 hours
3858,573479,402209,mobile,ended,-28.0,554170.0,690.0,time delta > 45 min,early less than 45 min
3859,573546,390467,connect,ended,-7.0,572236.0,60.0,time delta > 45 min,early less than 45 min
3889,537290,340112,mobile,ended,83.0,539219.0,300.0,time delta > 45 min,late btw 45 min and 2 hour
3896,537598,338935,mobile,ended,188.0,537023.0,60.0,time delta > 45 min,late btw 3 and 4 hours
3919,539674,344254,connect,ended,125.0,541533.0,60.0,time delta > 45 min,late btw 2 and 3 hours
3936,540722,321069,mobile,ended,224.0,512562.0,360.0,time delta > 45 min,late btw 3 and 4 hours
3949,538160,216701,mobile,ended,-21.0,524146.0,90.0,time delta > 45 min,early less than 45 min
3988,540583,194340,connect,ended,-133.0,541969.0,30.0,time delta btw 0 and 45 min,early more than 45 min
3995,540952,389785,connect,ended,-295.0,527270.0,540.0,time delta > 45 min,early more than 45 min
4006,541826,404130,connect,ended,97.0,543513.0,30.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
4023,543124,363658,mobile,ended,146.0,542107.0,180.0,time delta > 45 min,late btw 2 and 3 hours
4039,544337,311923,connect,ended,21.0,563869.0,510.0,time delta > 45 min,late <= 45 min
4040,544376,373233,mobile,ended,121.0,544861.0,60.0,time delta > 45 min,late btw 2 and 3 hours
4060,566060,394656,connect,ended,5.0,564793.0,240.0,time delta > 45 min,late <= 45 min
4092,552250,409539,mobile,ended,100.0,560505.0,600.0,time delta > 45 min,late btw 45 min and 2 hour
4099,552544,341648,mobile,ended,-545.0,557072.0,330.0,time delta > 45 min,early more than 45 min
4112,553553,408883,mobile,ended,8.0,564585.0,0.0,time delta btw 0 and 45 min,late <= 45 min
